player,h1,h2,h3,depth,games,wins,draws,win_rate,draw_rate,lose_rate,mean_time
o,0.25,0.75,0.0,2,10,6,3,0.6,0.3,0.1,0.04624008354834154
x,0.25,0.75,0.0,2,10,6,0,0.6,0.0,0.4,0.05876524054389257
o,0.0,0.0,1.0,2,10,4,0,0.4,0.0,0.6,0.011961146790663447
x,0.0,0.0,1.0,2,10,1,0,0.1,0.0,0.9,0.01004872657681439
o,0.0,0.75,0.25,2,10,9,0,0.9,0.0,0.1,0.04458187632204693
x,0.0,0.75,0.25,2,10,5,0,0.5,0.0,0.5,0.05735441203719825
o,0.0,0.0,1.0,2,10,5,0,0.5,0.0,0.5,0.013069922869232881
x,0.0,0.0,1.0,2,10,3,1,0.3,0.1,0.6,0.015245274949347836
o,0.0,0.25,0.75,2,10,6,1,0.6,0.1,0.3,0.04935331142076881
x,0.0,0.25,0.75,2,10,6,0,0.6,0.0,0.4,0.07062185625876152
o,0.0,0.0,1.0,2,10,4,0,0.4,0.0,0.6,0.014241946456076085
x,0.0,0.0,1.0,2,10,5,0,0.5,0.0,0.5,0.020306696481602167
o,0.25,0.0,0.75,2,10,5,0,0.5,0.0,0.5,0.02234589730186024
x,0.25,0.0,0.75,2,10,5,0,0.5,0.0,0.5,0.022285619753574855
o,0.0,0.0,1.0,2,10,5,0,0.5,0.0,0.5,0.02036009277022676
